EX_cpd00308_e	EX Malonate e
EX_cpd01329_e	EX Maltohexaose e
EX_cpd00179_e	EX Maltose e
EX_cpd08023_e	EX methanesulfonate e
EX_cpd11590_e	EX met-L-ala-L e
EX_cpd00254_e	EX Mg e
EX_cpd00030_e	EX Mn2+ e
EX_cpd11574_e	EX Molybdate e
EX_cpd11575_e	EX MOPS e
EX_cpd00971_e	EX Na+ e
EX_cpd00122_e	EX N-Acetyl-D-glucosamine e
EX_cpd00013_e	EX NH3 e
EX_cpd00244_e	EX Ni2+ e
EX_cpd00209_e	EX Nitrate e
EX_cpd00075_e	EX Nitrite e
EX_cpd00528_e	EX nitrogen e
EX_cpd00007_e	EX O2 e
EX_cpd00064_e	EX Ornithine e
EX_cpd04097_e	EX Pb e
EX_cpd00009_e	EX Phosphate e
EX_cpd00012_e	EX PPi e
EX_cpd00141_e	EX Propionate
EX_cpd00118_e	EX Putrescine e
EX_cpd00020_e	EX Pyruvate
EX_cpd00588_e	EX Sorbitol
EX_cpd00264_e	EX Spermidine e
EX_cpd00036_e	EX Succinate e
EX_cpd00048_e	EX Sulfate e
EX_cpd09878_e	EX Sulfoacetate e
EX_cpd00210_e	EX Taurine e
EX_cpd00305_e	EX Thiamin e
EX_cpd00184_e	EX Thymidine e
EX_cpd01242_e	EX Thyminose e
EX_cpd00851_e	EX trans-4-Hydroxy-L-proline
EX_cpd00092_e	EX Uracil e
EX_cpd00073_e	EX Urea e
EX_cpd00249_e	EX Uridine e
EX_cpd03424_e	EX Vitamin B12 e
EX_cpd00423_e	EX Vitamin B12r e
EX_cpd00309_e	EX XAN e
EX_cpd00306_e	EX Xylitol
EX_cpd00154_e	EX Xylose e
EX_cpd00034_e	EX Zn2+ e
EX_cpd00331_e	EX cis-Aconitic acid
EX_cpd00089_e	EX Glucose-1-phosphate
EX_cpd00314_e	EX D-Mannitol
EX_cpd00380_e	EX Itaconic Acid
EX_cpd00581_e	EX Urocanic Acid
EX_cpd00281_e	EX Amino Butyric Acid
